TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom
47:01.1,2.64,-50.018883,16.07106711,3.581116,4.226388,5.076927,5.48245,1.238062,1.98023,2.07549,1.244628,1.967144,2.019699
47:02.1,2.66,-50.012924,16.06915248,3.581116,4.22803,5.080211,5.48245,1.238062,1.98023,2.072206,1.251196,1.973712,2.016415
47:03.1,2.67,-50.012924,16.06915248,3.571264,4.22803,5.078569,5.497227,1.238062,1.976946,2.078775,1.251196,1.967144,2.016415
47:04.1,2.69,-50.000786,16.06525254,3.582758,4.226388,5.073643,5.493943,1.238062,1.98023,2.078775,1.251196,1.967144,2.019699
47:05.2,2.71,-50.000565,16.06518153,3.574548,4.22803,5.080211,5.484091,1.241346,1.98023,2.07549,1.247912,1.967144,2.016415
47:06.2,2.73,-49.99968,16.06489718,3.57619,4.226388,5.076927,5.487375,1.241346,1.983513,2.078775,1.251196,1.970428,2.016415
47:07.2,2.74,-49.991734,16.06234413,3.571264,4.226388,5.073643,5.492301,1.238062,1.98023,2.078775,1.241344,1.967144,2.019699
47:08.2,2.76,-49.989307,16.06156434,3.578653,4.22803,5.080211,5.479986,1.238062,1.98023,2.07549,1.244628,1.973712,2.016415
47:09.2,2.78,-49.989307,16.06156434,3.574548,4.22803,5.080211,5.475882,1.241346,1.983513,2.07549,1.23806,1.973712,2.016415
47:10.2,2.79,-49.985336,16.06028846,3.574548,4.229672,5.076927,5.492301,1.238062,1.98023,2.078775,1.247912,1.96386,2.016415
47:11.2,2.81,-49.982906,16.0595077,3.579474,4.226388,5.080211,5.485733,1.241346,1.983513,2.07549,1.251196,1.967144,2.016415
47:12.2,2.83,-49.871887,16.02383729,3.577832,4.22803,5.078569,5.479166,1.239704,1.98023,2.078775,1.247912,1.967144,2.019699
47:13.2,2.84,-45.18145,14.51679989,3.577832,4.226388,5.081853,5.48245,1.274186,1.999933,2.078775,1.257764,1.967144,2.013131
47:14.2,2.86,-43.830006,14.08258093,3.579474,4.226388,5.072001,5.498869,1.274186,2.003217,2.07549,1.251196,1.970428,2.009847
