Displacement in m,Displacement in mm,Load in N,Load in kN
0.004586,4.586007,27312.880859,27.312881
0.004586,4.586130,27311.498047,27.311498
0.004586,4.586314,27309.427734,27.309428
0.004587,4.586589,27306.330078,27.306330
0.004587,4.587001,27301.697266,27.301697
0.004587,4.587156,27299.964844,27.299965
0.004587,4.587387,27297.369141,27.297369
0.004588,4.587733,27293.488281,27.293488
0.004588,4.587863,27292.037109,27.292037
0.004588,4.588057,27289.863281,27.289863
0.004588,4.588347,27286.613281,27.286613
0.004588,4.588456,27285.398438,27.285398
0.004589,4.588619,27283.578125,27.283578
0.004589,4.588863,27280.853516,27.280854
0.004589,4.589229,27276.779297,27.276779
0.004589,4.589365,27275.253906,27.275254
0.004590,4.589571,27272.972656,27.272973
0.004590,4.589878,27269.556641,27.269557
0.004590,4.589993,27268.279297,27.268279
0.004590,4.590165,27266.369141,27.266369
0.004590,4.590422,27263.507812,27.263508
0.004591,4.590808,27259.230469,27.259230
0.004591,4.590953,27257.630859,27.257631
0.004591,4.591169,27255.236328,27.255236
0.004591,4.591493,27251.652344,27.251652
0.004592,4.591615,27250.310547,27.250311
0.004592,4.591797,27248.304688,27.248305
0.004592,4.592069,27245.300781,27.245301
0.004592,4.592171,27244.177734,27.244178
0.004592,4.592324,27242.494141,27.242494
0.004593,4.592552,27239.976562,27.239977
0.004593,4.592895,27236.208984,27.236209
0.004593,4.593023,27234.800781,27.234801
0.004593,4.593215,27232.693359,27.232693
0.004594,4.593502,27229.539062,27.229539
0.004594,4.593610,27228.359375,27.228359
0.004594,4.593771,27226.591797,27.226592
0.004594,4.594013,27223.947266,27.223947
0.004594,4.594374,27219.992188,27.219992
0.004595,4.594509,27218.513672,27.218514
0.004595,4.594712,27216.298828,27.216299
0.004595,4.595016,27212.984375,27.212984
0.004595,4.595130,27211.746094,27.211746
0.004595,4.595300,27209.888672,27.209889
0.004596,4.595555,27207.111328,27.207111
0.004596,4.595650,27206.072266,27.206072
0.004596,4.595793,27204.517578,27.204518
