Displacement in m,Displacement in mm,Load in N,Load in kN
0.051044,51.044166,26113.730469,26.113730
0.051044,51.044166,26112.742188,26.112742
0.051147,51.147297,26113.730469,26.113730
0.051147,51.147297,26112.742188,26.112742
0.051250,51.249608,26111.755859,26.111756
0.051250,51.249608,26110.775391,26.110775
0.051351,51.351111,26111.755859,26.111756
0.051351,51.351111,26110.775391,26.110775
0.051452,51.451813,26109.794922,26.109795
0.051452,51.451813,26108.818359,26.108818
0.051552,51.551729,26109.794922,26.109795
0.051552,51.551729,26108.818359,26.108818
0.051651,51.650889,26107.845703,26.107846
0.051651,51.650889,26106.875000,26.106875
0.051749,51.749319,26107.845703,26.107846
0.051749,51.749319,26106.875000,26.106875
0.051847,51.847018,26105.908203,26.105908
0.051944,51.943995,26104.943359,26.104943
0.051944,51.943995,26103.982422,26.103982
0.052040,52.040257,26104.943359,26.104943
0.052040,52.040257,26103.982422,26.103982
0.052136,52.135814,26103.023438,26.103023
0.052136,52.135814,26102.068359,26.102068
0.052231,52.230675,26103.023438,26.103023
0.052231,52.230675,26102.068359,26.102068
0.052325,52.324850,26101.115234,26.101115
0.052325,52.324850,26100.164062,26.100164
0.052418,52.418351,26101.115234,26.101115
0.052418,52.418351,26100.164062,26.100164
0.052511,52.511208,26099.216797,26.099217
0.052511,52.511208,26098.273438,26.098273
0.052603,52.603416,26099.216797,26.099217
0.052603,52.603416,26098.273438,26.098273
0.052695,52.694991,26097.332031,26.097332
0.052695,52.694991,26096.392578,26.096393
0.052786,52.785944,26097.332031,26.097332
0.052786,52.785944,26096.392578,26.096393
0.052876,52.876282,26095.457031,26.095457
0.052876,52.876282,26094.523438,26.094523
0.052966,52.966010,26095.457031,26.095457
0.052966,52.966010,26094.523438,26.094523
0.053055,53.055145,26093.593750,26.093594
0.053055,53.055145,26092.666016,26.092666
0.053144,53.143688,26093.593750,26.093594
0.053144,53.143688,26092.666016,26.092666
0.053232,53.231649,26091.742188,26.091742
0.053232,53.231649,26090.820312,26.090820
0.053319,53.319041,26091.742188,26.091742
0.053319,53.319041,26090.820312,26.090820
0.053406,53.405866,26089.900391,26.089900
0.053406,53.405866,26088.984375,26.088984
0.053492,53.492133,26089.900391,26.089900
0.053492,53.492133,26088.984375,26.088984
0.053578,53.577848,26088.070312,26.088070
0.053578,53.577848,26087.160156,26.087160
0.053663,53.663008,26088.070312,26.088070
0.053663,53.663008,26087.160156,26.087160
0.053748,53.747620,26086.251953,26.086252
0.053748,53.747620,26085.345703,26.085346
0.053832,53.831689,26086.251953,26.086252
0.053832,53.831689,26085.345703,26.085346
0.053915,53.915221,26084.443359,26.084443
0.053915,53.915221,26083.542969,26.083543
0.053998,53.998217,26084.443359,26.084443
