TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
33:58.8,-50.882103,16.34841969,2.845538,2.84718,4.907816,4.906174,-0.229876,0.23316,-0.141209,0.144493,-0.243011,0.252863,-0.397354,0.397354,-0.666637,0.663353,0.646935,0.656787
33:59.8,-51.008354,16.38898414,2.845538,2.84718,5.01126,5.009618,-0.275851,0.279135,-0.160912,0.164196,-0.246295,0.256147,-0.426909,0.426909,-0.788142,0.784858,0.814415,0.824267
34:00.8,-54.816147,17.61242803,2.939131,2.940773,5.265765,5.264123,-0.285703,0.288987,-0.170764,0.174048,-0.239727,0.249579,-0.623944,0.623944,-1.172362,1.169078,1.126389,1.136241
34:01.8,-55.713577,17.90077229,2.955551,2.957193,5.305171,5.303529,-0.285703,0.288987,-0.17569,0.178974,-0.249578,0.25943,-0.722462,0.722462,-1.287299,1.284015,1.208487,1.218339
34:02.8,-55.548038,17.84758461,2.978538,2.98018,5.349504,5.347862,-0.295555,0.298839,-0.200319,0.203603,-0.239727,0.249579,-0.77172,0.77172,-1.366113,1.362829,1.284018,1.29387
34:03.8,-57.566048,18.49597122,3.149304,3.150946,5.461158,5.459516,-0.310332,0.313616,-0.256146,0.25943,-0.239727,0.249579,-0.899793,0.899793,-1.576284,1.573,1.467918,1.47777
34:04.8,-57.517048,18.48022752,3.520391,3.522033,5.585948,5.584306,-0.397357,0.400641,-0.325109,0.328393,-0.239727,0.249579,-1.07384,1.07384,-1.84885,1.845566,1.683016,1.692868
34:05.8,-55.787075,17.9243872,3.666527,3.668169,5.608935,5.607293,-0.459752,0.463036,-0.394071,0.397355,-0.236443,0.246295,-1.100112,1.100112,-1.875121,1.871837,1.733917,1.743769
34:06.8,-55.78862,17.92488361,3.714144,3.715786,5.607293,5.605651,-0.463035,0.466319,-0.42691,0.430194,-0.233159,0.243011,-1.109964,1.109964,-1.888257,1.884973,1.783176,1.793028
34:07.8,-56.41457,18.12600134,3.980145,3.981787,5.681182,5.67954,-0.499159,0.502443,-0.515576,0.51886,-0.246295,0.256147,-1.129667,1.129667,-1.937516,1.934232,1.947373,1.957225
