TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
0.014637731,-36.779232,18.24316724,4.157466,4.08522,3.443197,3.421852,2.946491,3.185395,3.986674,3.970254,-0.239729,0.285704,-0.220027,0.029556,-0.078815,0.036123,0.241369,0.935921,1.162537,1.116561,-0.855461,1.093545,0.017752,0.031953,0.008876,0.005325,-0.006935,0.020804,0.013869,0.027738,0.0104,0.003467,0.010399,0.017332
0.014649306,-38.480072,18.78964713,4.27733,4.205084,3.538431,3.517086,3.038441,3.277345,4.165648,4.149228,-0.229877,0.275852,-0.213459,0.022988,-0.075531,0.032839,0.087024,0.781576,1.211797,1.165821,-0.963831,1.201915,0.181069,0.131364,0.014201,0,0.006935,0.034674,0.006935,0.034672,-0.0208,0.034667,0.041596,0.013865
0.01466088,-40.309143,19.37732765,4.430034,4.357788,3.605752,3.584407,3.104119,3.343023,4.308498,4.292078,-0.226593,0.272568,-0.216743,0.026272,-0.072247,0.029555,0.159271,0.853823,1.277477,1.231501,-1.067274,1.305358,0.046155,0.00355,0,0.014201,-0.006935,0.020804,0.027738,0.013869,0,0.013867,0.013866,0.013865
0.014672454,-42.017929,19.92636059,4.507207,4.434961,3.682924,3.661579,3.199353,3.438257,4.515386,4.498966,-0.216741,0.262716,-0.267645,0.077174,-0.026272,0.01642,0.134641,0.829193,1.353009,1.307033,-1.124743,1.362827,0.134914,0.085209,-0.007101,0.021302,-0.020804,0.006935,0.034673,0.006934,-0.006933,0.0208,0.041596,0.013865
0.014684028,-43.41153,20.37412459,4.609009,4.536763,3.778158,3.756813,3.296228,3.535132,4.663162,4.646742,-0.220025,0.266,-0.288991,0.09852,-0.009852,0.03284,0.146135,0.840687,1.367787,1.321811,-1.16415,1.402234,0.264503,0.214798,-0.017752,0.031953,0,0.027739,0.010402,0.031205,-0.0208,0.034667,0.034664,0.006933
0.014696759,-45.821747,21.14852731,4.715738,4.643492,3.866824,3.845479,3.394746,3.63365,4.781384,4.764964,-0.229877,0.275852,-0.313621,0.12315,-0.003284,0.039408,0.103444,0.797996,1.379281,1.333305,-1.190421,1.428505,-0.014202,0.063907,0,0.014201,-0.024272,0.003467,0.024271,0.017336,-0.013867,0.027734,0.031197,0.003466
0.014708333,-45.305714,20.98272591,4.753503,4.681257,3.912799,3.891454,3.425943,3.664847,4.832284,4.815864,-0.229877,0.275852,-0.295559,0.105088,-0.003284,0.039408,0.175691,0.870243,1.379281,1.333305,-1.190421,1.428505,0.342611,0.292906,-0.00355,0.017751,0.020804,0.048543,0.027738,0.013869,-0.013867,0.027734,0.027731,0
0.014719907,-46.491402,21.36368746,4.848738,4.776492,4.011318,3.989973,3.599991,3.838895,4.934086,4.917666,-0.351383,0.397358,-0.466326,0.275855,-0.101803,0.059111,0.323468,1.01802,1.513925,1.467949,-1.210124,1.448208,0.18817,0.138465,0,0.014201,0,0.027739,0.020804,0.020803,-0.0208,0.034667,0.020798,0.006933
0.014731481,-46.491402,21.36368746,4.85859,4.786344,4.024453,4.003108,3.621337,3.860241,4.94558,4.92916,-0.367803,0.413778,-0.499166,0.308695,-0.111655,0.068963,0.307048,1.0016,1.520493,1.474517,-1.219976,1.45806,0.19172,0.142015,0.015977,0.001776,-0.010402,0.017337,0.072813,0.031206,-0.006933,0.0208,0.024265,0.003466
0.014743056,-48.232849,21.92321438,4.90867,4.836424,4.081922,4.060577,3.706718,3.945622,5.003049,4.986629,-0.367803,0.413778,-0.499166,0.308695,-0.111655,0.068963,0.333319,1.027871,1.520493,1.474517,-1.249532,1.487616,0.330185,0.28048,0,0.014201,0.01387,0.041609,-0.013869,0.055476,0,0.013867,0.020798,0.006933
