Extension,Load,Tensile strain,Tensile stress,Strain 1,Tensile extension,Offset strain,Tensile stress offset
0.40075,"3,254.07",0.00169,372.66031,0.00169,0.0847,0.00369,372.66031
0.40269,"3,265.65",0.0017,373.98672,0.0017,0.08501,0.0037,373.98672
0.40462,"3,280.69",0.00171,375.70847,0.00171,0.08547,0.00371,375.70847
0.40606,"3,291.45",0.00171,376.94144,0.00171,0.08569,0.00371,376.94144
0.40737,"3,296.96",0.00172,377.57208,0.00172,0.08588,0.00372,377.57208
0.40956,"3,313.39",0.00173,379.45398,0.00173,0.08629,0.00373,379.45398
0.41119,"3,324.41",0.00173,380.71591,0.00173,0.08663,0.00373,380.71591
0.4125,"3,333.14",0.00174,381.71506,0.00174,0.08686,0.00374,381.71506
0.41425,"3,342.97",0.00174,382.84146,0.00174,0.08709,0.00374,382.84146
0.41625,"3,358.71",0.00175,384.64328,0.00175,0.08755,0.00375,384.64328
0.41781,"3,369.01",0.00176,385.82294,0.00176,0.08784,0.00376,385.82294
0.41894,"3,374.86",0.00176,386.49365,0.00176,0.08796,0.00376,386.49365
0.42112,"3,389.87",0.00177,388.21286,0.00177,0.08839,0.00377,388.21286
0.42281,"3,401.67",0.00177,389.56317,0.00177,0.08872,0.00377,389.56317
0.42431,"3,412.34",0.00178,390.78528,0.00178,0.089,0.00378,390.78528
0.42581,"3,421.05",0.00178,391.78296,0.00178,0.08924,0.00378,391.78296
0.42794,"3,436.92",0.0018,393.60065,0.0018,0.08976,0.0038,393.60065
0.42956,"3,448.00",0.0018,394.86978,0.0018,0.09,0.0038,394.86978
0.43069,"3,453.60",0.0018,395.51068,0.0018,0.09018,0.0038,395.51068
0.43281,"3,466.89",0.00181,397.03244,0.00181,0.09056,0.00381,397.03244
0.43444,"3,479.58",0.00182,398.48624,0.00182,0.09091,0.00382,398.48624
0.436,"3,490.55",0.00182,399.74274,0.00182,0.09119,0.00382,399.74274
0.43744,"3,498.08",0.00183,400.60474,0.00183,0.09138,0.00383,400.60474
0.43969,"3,514.25",0.00184,402.45599,0.00184,0.09184,0.00384,402.45599
0.44131,"3,525.63",0.00184,403.75937,0.00184,0.09213,0.00384,403.75937
0.44237,"3,532.19",0.00185,404.51065,0.00185,0.09229,0.00385,404.51065
0.44431,"3,543.62",0.00185,405.81985,0.00185,0.09267,0.00385,405.81985
0.44612,"3,557.67",0.00186,407.42886,0.00186,0.09304,0.00386,407.42886
0.44769,"3,568.11",0.00187,408.62433,0.00187,0.0933,0.00387,408.62433
0.44912,"3,576.01",0.00187,409.52921,0.00187,0.0935,0.00387,409.52921
0.45131,"3,591.33",0.00188,411.2843,0.00188,0.09391,0.00388,411.2843
0.453,"3,603.55",0.00188,412.68271,0.00188,0.09425,0.00388,412.68271
0.45412,"3,610.71",0.00189,413.50317,0.00189,0.09444,0.00389,413.50317
0.45587,"3,619.95",0.00189,414.56152,0.00189,0.09466,0.00389,414.56152
0.45787,"3,636.25",0.0019,416.42761,0.0019,0.09511,0.0039,416.42761
0.45944,"3,646.33",0.00191,417.58273,0.00191,0.09535,0.00391,417.58273
0.46081,"3,653.67",0.00191,418.42303,0.00191,0.09554,0.00391,418.42303
0.46287,"3,667.09",0.00192,419.96042,0.00192,0.09597,0.00392,419.96042
0.46462,"3,680.66",0.00193,421.51443,0.00193,0.0963,0.00393,421.51443
0.46587,"3,689.78",0.00193,422.55835,0.00193,0.09655,0.00393,422.55835
0.46744,"3,697.41",0.00193,423.43228,0.00193,0.09673,0.00393,423.43228
0.46956,"3,713.41",0.00194,425.2645,0.00194,0.09716,0.00394,425.2645
0.47112,"3,723.56",0.00195,426.42734,0.00195,0.09748,0.00395,426.42734
0.47237,"3,731.63",0.00195,427.35092,0.00195,0.09767,0.00395,427.35092
0.47437,"3,744.24",0.00196,428.79544,0.00196,0.09805,0.00396,428.79544
0.47631,"3,758.60",0.00197,430.44028,0.00197,0.09839,0.00397,430.44028
0.47769,"3,768.33",0.00197,431.55435,0.00197,0.09864,0.00397,431.55435
0.47906,"3,775.06",0.00198,432.32425,0.00198,0.09883,0.00398,432.32425
0.48112,"3,790.52",0.00198,434.09546,0.00198,0.09924,0.00398,434.09546
0.48281,"3,800.89",0.00199,435.28326,0.00199,0.09957,0.00399,435.28326
0.48412,"3,810.07",0.002,436.33463,0.002,0.0998,0.004,436.33463
0.486,"3,821.78",0.002,437.67517,0.002,0.1001,0.004,437.67517
0.488,"3,836.62",0.00201,439.37518,0.00201,0.10054,0.00401,439.37518
0.48944,"3,846.35",0.00202,440.48941,0.00202,0.10079,0.00402,440.48941
0.49062,"3,851.63",0.00202,441.09357,0.00202,0.10095,0.00402,441.09357
0.49287,"3,867.61",0.00203,442.92365,0.00203,0.1014,0.00403,442.92365
0.4945,"3,879.15",0.00203,444.24533,0.00203,0.10172,0.00403,444.24533
0.49587,"3,887.04",0.00204,445.14905,0.00204,0.10197,0.00404,445.14905
0.49762,"3,897.78",0.00204,446.37936,0.00204,0.10224,0.00404,446.37936
0.49969,"3,913.67",0.00205,448.19812,0.00205,0.1027,0.00405,448.19812
0.50125,"3,924.16",0.00206,449.3996,0.00206,0.10296,0.00406,449.3996
0.50231,"3,930.33",0.00206,450.10687,0.00206,0.10313,0.00406,450.10687
0.50462,"3,944.37",0.00207,451.7139,0.00207,0.10352,0.00407,451.7139
0.50619,"3,956.16",0.00208,453.06424,0.00208,0.10388,0.00408,453.06424
0.50756,"3,965.38",0.00208,454.12009,0.00208,0.10414,0.00408,454.12009
0.50919,"3,974.55",0.00209,455.17017,0.00209,0.10436,0.00409,455.17017
0.51131,"3,990.89",0.0021,457.04169,0.0021,0.10483,0.0041,457.04169
0.513,"4,002.71",0.0021,458.39499,0.0021,0.10512,0.0041,458.39499
0.51406,"4,008.34",0.00211,459.04065,0.00211,0.10529,0.00411,459.04065
0.51612,"4,020.13",0.00211,460.39047,0.00211,0.1056,0.00411,460.39047
0.51775,"4,033.47",0.00212,461.91873,0.00212,0.10591,0.00412,461.91873
0.51931,"4,043.70",0.00213,463.08923,0.00213,0.10625,0.00413,463.08923
0.52081,"4,052.26",0.00213,464.07043,0.00213,0.10648,0.00413,464.07043
0.52306,"4,067.96",0.00214,465.86829,0.00214,0.10689,0.00414,465.86829
0.52469,"4,079.56",0.00214,467.19705,0.00214,0.10721,0.00414,467.19705
0.52575,"4,085.77",0.00215,467.90787,0.00215,0.10738,0.00415,467.90787
0.52769,"4,096.24",0.00215,469.10623,0.00215,0.10767,0.00415,469.10623
0.5295,"4,111.14",0.00216,470.81265,0.00216,0.10805,0.00416,470.81265
0.53106,"4,121.12",0.00217,471.95618,0.00217,0.10838,0.00417,471.95618
0.5325,"4,128.86",0.00217,472.84256,0.00217,0.10857,0.00417,472.84256
0.53462,"4,143.58",0.00218,474.52838,0.00218,0.10894,0.00418,474.52838
0.53637,"4,155.38",0.00219,475.87943,0.00219,0.10929,0.00419,475.87943
0.5375,"4,163.19",0.00219,476.7742,0.00219,0.10948,0.00419,476.7742
0.53937,"4,171.94",0.0022,477.77625,0.0022,0.10975,0.0042,477.77625
0.54119,"4,186.89",0.0022,479.48752,0.0022,0.11017,0.0042,479.48752
0.54275,"4,195.92",0.00221,480.52231,0.00221,0.11041,0.00421,480.52231
0.54412,"4,203.44",0.00221,481.38379,0.00221,0.11065,0.00421,481.38379
0.54625,"4,217.29",0.00222,482.96991,0.00222,0.11101,0.00422,482.96991
0.54806,"4,229.56",0.00223,484.37527,0.00223,0.11134,0.00423,484.37527
0.54925,"4,237.55",0.00223,485.29013,0.00223,0.11158,0.00423,485.29013
