Displacement in m,Displacement in mm,Load in N,Load in kN
0.006013,6.013256,54454.453125,54.454453
0.006015,6.014565,54426.441406,54.426441
0.006017,6.016610,54376.386719,54.376387
0.006020,6.019930,54263.320312,54.263320
0.006021,6.021226,54214.242188,54.214242
0.006023,6.023299,54122.304688,54.122305
0.006027,6.026807,53929.214844,53.929215
0.006027,6.027144,53910.656250,53.910656
0.006027,6.027483,53891.597656,53.891598
0.006028,6.027824,53872.003906,53.872004
0.006028,6.028343,53841.281250,53.841281
0.006029,6.029138,53792.238281,53.792238
0.006030,6.030375,53712.644531,53.712645
0.006032,6.032344,53583.269531,53.583270
0.006036,6.035709,53365.011719,53.365012
0.006042,6.041836,52988.933594,52.988934
0.006044,6.044382,52838.878906,52.838879
0.006048,6.048481,52604.011719,52.604012
0.006056,6.056042,52219.515625,52.219516
0.006072,6.071672,51559.347656,51.559348
0.006096,6.095892,50769.105469,50.769105
0.006102,6.102199,50567.691406,50.567691
0.006109,6.108768,50365.742188,50.365742
0.006119,6.119180,50066.007812,50.066008
0.006123,6.123156,49954.171875,49.954172
0.006129,6.129278,49788.160156,49.788160
0.006139,6.138797,49543.660156,49.543660
0.006168,6.167846,49064.953125,49.064953
0.006183,6.182959,48816.062500,48.816063
0.006199,6.198595,48564.449219,48.564449
0.006223,6.223045,48186.406250,48.186406
0.006232,6.232337,48044.550781,48.044551
0.006247,6.246552,47832.101562,47.832102
0.006268,6.268474,47515.464844,47.515465
0.006277,6.276766,47397.054688,47.397055
0.006289,6.289374,47220.632812,47.220633
0.006309,6.308658,46959.636719,46.959637
0.006338,6.338388,46578.714844,46.578715
