Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm-O,Displacement in mm
10462.3291,174.372152,0.018594,18.594183,-18.594183
10462.33008,174.372168,0.018594,18.594259,-18.594259
10462.33008,174.372168,0.018594,18.594259,-18.594259
10462.33008,174.372168,0.018594,18.594278,-18.594278
10462.33008,174.372168,0.018594,18.594278,-18.594278
10462.33008,174.372168,0.018594,18.594297,-18.594297
10462.33008,174.372168,0.018594,18.594297,-18.594297
10462.33008,174.372168,0.018594,18.594325,-18.594325
10462.33008,174.372168,0.018594,18.594325,-18.594325
10462.33008,174.372168,0.018594,18.594366,-18.594366
10462.33008,174.372168,0.018594,18.594366,-18.594366
10462.33008,174.372168,0.018594,18.594429,-18.594429
10462.33008,174.372168,0.018594,18.594429,-18.594429
10462.33008,174.372168,0.018594,18.594451,-18.594451
10462.33008,174.372168,0.018594,18.594451,-18.594451
10462.33008,174.372168,0.018594,18.594487,-18.594487
10462.33008,174.372168,0.018594,18.594487,-18.594487
10462.33008,174.372168,0.018594,18.5945,-18.5945
10462.33008,174.372168,0.018594,18.5945,-18.5945
10462.33008,174.372168,0.018595,18.59452,-18.59452
10462.33008,174.372168,0.018595,18.59452,-18.59452
10462.33008,174.372168,0.018595,18.59455,-18.59455
10462.33008,174.372168,0.018595,18.59455,-18.59455
10462.33008,174.372168,0.018595,18.594561,-18.594561
10462.33008,174.372168,0.018595,18.594561,-18.594561
10462.33008,174.372168,0.018595,18.594565,-18.594565
10462.33008,174.372168,0.018595,18.594565,-18.594565
10462.33008,174.372168,0.018595,18.594569,-18.594569
10462.33008,174.372168,0.018595,18.594569,-18.594569
10462.33008,174.372168,0.018595,18.594572,-18.594572
10462.33008,174.372168,0.018595,18.594572,-18.594572
10462.33008,174.372168,0.018595,18.594582,-18.594582
10462.33008,174.372168,0.018595,18.594582,-18.594582
10462.33008,174.372168,0.018595,18.594593,-18.594593
10462.33008,174.372168,0.018595,18.594593,-18.594593
10462.33106,174.372184,0.018595,18.594611,-18.594611
10462.33106,174.372184,0.018595,18.594611,-18.594611
10462.33106,174.372184,0.018595,18.594639,-18.594639
10462.33106,174.372184,0.018595,18.594639,-18.594639
10462.33106,174.372184,0.018595,18.59468,-18.59468
10462.33106,174.372184,0.018595,18.59468,-18.59468
10462.33106,174.372184,0.018595,18.594721,-18.594721
10462.33106,174.372184,0.018595,18.594721,-18.594721
10462.33106,174.372184,0.018595,18.594762,-18.594762
10462.33106,174.372184,0.018595,18.594762,-18.594762
10462.33106,174.372184,0.018595,18.594777,-18.594777
10462.33106,174.372184,0.018595,18.594777,-18.594777
10462.33106,174.372184,0.018595,18.5948,-18.5948
10462.33106,174.372184,0.018595,18.5948,-18.5948
10462.33106,174.372184,0.018595,18.594835,-18.594835
10462.33106,174.372184,0.018595,18.594835,-18.594835
10462.33106,174.372184,0.018595,18.594885,-18.594885
10462.33106,174.372184,0.018595,18.594885,-18.594885
10462.33203,174.372201,0.018595,18.594963,-18.594963
10462.33203,174.372201,0.018595,18.594963,-18.594963
10462.33203,174.372201,0.018595,18.59504,-18.59504
10462.33203,174.372201,0.018595,18.59504,-18.59504
10462.33203,174.372201,0.018595,18.595116,-18.595116
10462.33203,174.372201,0.018595,18.595116,-18.595116
10462.33203,174.372201,0.018595,18.595193,-18.595193
10462.33203,174.372201,0.018595,18.595193,-18.595193
10462.33203,174.372201,0.018595,18.595269,-18.595269
10462.33203,174.372201,0.018595,18.595269,-18.595269
10462.33301,174.372217,0.018595,18.595345,-18.595345
10462.33301,174.372217,0.018595,18.595345,-18.595345
10462.33301,174.372217,0.018595,18.595459,-18.595459
10462.33301,174.372217,0.018595,18.595459,-18.595459
10462.33398,174.372233,0.018596,18.595628,-18.595628
10462.33398,174.372233,0.018596,18.595628,-18.595628
10462.33398,174.372233,0.018596,18.5958,-18.5958
10462.33398,174.372233,0.018596,18.5958,-18.5958
10462.33496,174.372249,0.018596,18.595969,-18.595969
10462.33496,174.372249,0.018596,18.595969,-18.595969
10462.33496,174.372249,0.018596,18.596012,-18.596012
10462.33496,174.372249,0.018596,18.596012,-18.596012
10462.33496,174.372249,0.018596,18.596053,-18.596053
10462.33496,174.372249,0.018596,18.596053,-18.596053
10462.33496,174.372249,0.018596,18.596116,-18.596116
